Product Name,Category,City,Original Price,Current Price,Discount,Orders,Total Revenue,Influencer Active
Britannia Cake,Snacks,Delhi,148,163,5,283,44714,No
Britannia Cake,Snacks,Pune,81,86,10,284,21584,Yes
Fortune Oil 1L,Grocery,Hyderabad,138,143,10,69,9177,No
Pepsi 500ml,Beverages,Delhi,127,127,10,83,9711,No
Aashirvaad Atta,Grocery,Chennai,34,49,10,169,6591,Yes
Amul Milk 500ml,Dairy,Delhi,149,159,0,246,39114,No
Britannia Cake,Snacks,Bangalore,82,87,0,254,22098,Yes
Amul Milk 500ml,Dairy,Bangalore,46,51,5,179,8234,No
Aashirvaad Atta,Grocery,Mumbai,137,137,10,268,34036,No
Maggi Noodles,Instant Food,Hyderabad,196,201,0,59,11859,Yes
Maggi Noodles,Instant Food,Hyderabad,109,114,0,241,27474,No
Maggi Noodles,Instant Food,Mumbai,28,28,5,281,6463,No
Maggi Noodles,Instant Food,Pune,130,135,0,76,10260,No
Oreo Biscuits,Snacks,Bangalore,125,125,5,155,18600,No
Aashirvaad Atta,Grocery,Delhi,56,66,0,89,5874,No
Coca Cola 1L,Beverages,Pune,50,50,10,118,4720,Yes
Britannia Cake,Snacks,Delhi,80,85,5,232,18560,No
Pepsi 500ml,Beverages,Bangalore,164,174,0,100,17400,Yes
Parle-G,Snacks,Chennai,102,107,10,254,24638,No
Nestle Munch,Confectionery,Mumbai,195,205,0,223,45715,No
Pepsi 500ml,Beverages,Hyderabad,154,159,5,253,38962,No
Amul Milk 500ml,Dairy,Pune,120,135,0,291,39285,Yes
Parle-G,Snacks,Chennai,144,144,5,186,25854,Yes
Maggi Noodles,Instant Food,Mumbai,118,123,5,124,14632,No
Pepsi 500ml,Beverages,Hyderabad,41,51,10,53,2173,Yes
Maggi Noodles,Instant Food,Bangalore,147,147,10,167,22879,No
Fortune Oil 1L,Grocery,Pune,111,121,10,227,25197,No
Coca Cola 1L,Beverages,Mumbai,182,192,5,56,10472,Yes
Pepsi 500ml,Beverages,Mumbai,160,160,0,150,24000,No
Britannia Cake,Snacks,Chennai,175,175,0,210,36750,No
Maggi Noodles,Instant Food,Pune,122,127,10,122,14274,No
Maggi Noodles,Instant Food,Hyderabad,124,139,5,58,7772,No
Oreo Biscuits,Snacks,Pune,159,164,10,83,12782,Yes
Amul Milk 500ml,Dairy,Hyderabad,142,157,10,196,28812,Yes
Aashirvaad Atta,Grocery,Pune,80,90,5,246,20910,No
